u,v,weight
58,1140,0.006185132
58,1141,0.006185132
58,1142,0.026112836
58,1143,0.006535314
58,1144,0.00662277
58,1145,0.0069844523
58,1146,0.02469498
58,1147,0.0069844523
58,1148,0.0076655727
58,1149,0.020153854
58,1150,0.0076655727
58,1151,0.007842264
58,1152,0.021811167
58,1153,0.007842264
58,1154,0.007842264
58,1155,0.008317798
58,1156,0.008317798
58,1157,0.008317798
58,1158,0.0088054305
58,1159,0.0088054305
58,1160,0.009392728
58,1161,0.009392728
58,1162,0.009392728
58,1163,0.037967164
58,1164,0.009905683
58,1165,0.009905683
58,1166,0.010486405
58,1167,0.010486405
58,1168,0.010486405
58,1169,0.010486405
58,1170,0.011122273
58,1171,0.011774319
58,1172,0.011774319
58,1173,0.012488281
58,1174,0.012488281
58,1175,0.01324554
58,1176,0.01324554
58,1177,0.03621345
58,1178,0.014815941
58,1179,0.015684528
58,1180,0.015684528
58,1181,0.015684528
58,1182,0.015684528
58,1183,0.037608407
58,1184,0.017610861
58,1185,0.018678736
58,1186,0.018678736
58,1187,0.018678736
58,1188,0.019811366
58,1189,0.019811366
58,1190,0.019811366
58,1191,0.02097281
58,1192,0.02097281
58,1193,0.022244547
58,1194,0.022244547
58,1195,0.024976563
59,1198,0.24288055
59,1199,0.24288055
59,1200,0.25711945
59,1201,0.25711945
60,1203,0.5
60,1204,0.5
61,130,0.034903977
61,144,0.03904223
61,150,0.11962944
61,311,0.06581699
61,1181,0.052205924
61,1206,0.032908496
61,1207,0.032908496
61,1208,0.032908496
61,1209,0.034903977
61,1210,0.036810156
61,1211,0.03904223
61,1212,0.052205924
61,1213,0.06581699
61,1214,0.069807954
61,1215,0.069807954
61,1216,0.07376025
61,1217,0.07376025
61,1218,0.07376025
62,136,0.053798437
62,186,0.042753946
62,500,0.04061703
62,640,0.045174524
62,666,0.045174524
62,936,0.042753946
62,1219,0.035968702
62,1220,0.035968702
62,1221,0.035968702
62,1222,0.037933033
62,1223,0.037933033
62,1224,0.037933033
62,1225,0.04061703
62,1226,0.04061703
62,1227,0.042753946
62,1228,0.045174524
62,1229,0.053798437
62,1230,0.053798437
62,1231,0.056952372
62,1232,0.056952372
62,1233,0.11735819
63,584,0.16207762
63,1236,0.12904888
63,1237,0.12904888
63,1238,0.12904888
63,1239,0.14434904
63,1240,0.14434904
63,1241,0.16207762
64,321,0.10204684
64,634,0.11457997
64,1243,0.10204684
64,1244,0.10802934
64,1245,0.10802934
64,1246,0.11457997
64,1247,0.11457997
64,1248,0.11457997
64,1249,0.12152779
65,1252,0.5
65,1253,0.5
66,166,0.07458785
66,361,0.032238953
66,408,0.011561694
66,415,0.03832059
66,705,0.011561694
66,769,0.032238953
66,905,0.010900704
66,1178,0.010297039
66,1256,0.010297039
66,1257,0.010297039
66,1258,0.010900704
66,1259,0.010900704
66,1260,0.011561694
66,1261,0.011561694
66,1262,0.011561694
66,1263,0.01298167
66,1264,0.030453604
66,1265,0.030453604
66,1266,0.064477906
66,1267,0.032238953
66,1268,0.07055955
66,1269,0.064477906
66,1270,0.032238953
66,1271,0.032238953
66,1272,0.032238953
66,1273,0.034193836
66,1274,0.034193836
66,1275,0.036267262
66,1276,0.036267262
66,1277,0.078964844
66,1278,0.078964844
67,274,0.031034695
67,596,0.041498523
67,666,0.034846295
67,670,0.029316038
67,803,0.029316038
67,813,0.07845781
67,1280,0.02764002
67,1281,0.02764002
67,1282,0.02764002
67,1283,0.029316038
67,1284,0.062232595
67,1285,0.07253321
67,1286,0.031034695
67,1287,0.032916557
67,1288,0.032916557
67,1289,0.034846295
67,1290,0.034846295
67,1291,0.034846295
67,1292,0.034846295
67,1293,0.036959283
67,1294,0.036959283
67,1295,0.036959283
67,1296,0.039200395
67,1297,0.039200395
67,1298,0.041498523
67,1299,0.041498523
68,494,0.106304616
68,1301,0.089263946
68,1302,0.089263946
68,1303,0.09467667
68,1304,0.09467667
68,1305,0.10022711
68,1306,0.10022711
68,1307,0.106304616
68,1308,0.106304616
68,1309,0.11275065
69,644,0.5
69,752,0.5
70,1313,0.15716141
70,1314,0.15716141
70,1315,0.16637501
70,1316,0.16637501
70,1317,0.17646356
70,1318,0.17646356
71,125,0.026315533
71,313,0.027752677
71,416,0.033050716
71,942,0.031161187
71,1250,0.027752677
71,1321,0.026315533
71,1322,0.026315533
71,1323,0.064862594
71,1324,0.027752677
71,1325,0.027752677
71,1326,0.027752677
71,1327,0.027752677
71,1328,0.027752677
71,1329,0.027752677
71,1330,0.060803395
71,1331,0.029435525
71,1332,0.029435525
71,1333,0.06442385
71,1334,0.029435525
71,1335,0.029435525
71,1336,0.029435525
71,1337,0.031161187
71,1338,0.031161187
71,1339,0.033050716
71,1340,0.033050716
71,1341,0.033050716
71,1342,0.033050716
71,1343,0.033050716
71,1344,0.03498832
71,1345,0.03498832
72,1347,0.03312487
72,1348,0.03312487
72,1349,0.03312487
72,1350,0.08211275
